ID;Name;Sub_ID;Sub_Name;Field_ID;Field_Name;Domain_ID;Domain_Name;Keywords_1;Keywords_2;Keywords_3;Keywords_4;Keywords_5;Keywords_6;Keywords_7;Keywords_8;Keywords_9;Keywords_10
T10720;Combinatorial Optimization and Complexity Theory;1703;Computational Theory and Mathematics;17;Computer Science;3;Physical Sciences;Combinatorial Optimization;Approximation Algorithms;Complexity Theory;Graph Algorithms;Submodular Functions;Network Flows;Matrix Multiplication;Communication Complexity;Linear Programming;Algorithmic Applications
T11596;Distributed Constraint Optimization Problems and Algorithms;1705;Computer Networks and Communications;17;Computer Science;3;Physical Sciences;Constraint Optimization;Distributed Algorithms;Random Satisfiability;Local Search;Spatial Reasoning;Algorithm Selection;Phase Transitions;Soft Constraints;Temporal Reasoning;Graph Coloring
T10943;Pathogenesis and Virulence of Escherichia coli;1310;Endocrinology;13;Biochemistry, Genetics and Molecular Biology;1;Life Sciences;Escherichia coli;pathogenicity;virulence;genomic analysis;Shiga toxin;bacterial invasion;urinary tract infection;molecular pathogenesis;type III secretion system;vaccine development
T10205;Fiber Optic Sensor Technology;2208;Electrical and Electronic Engineering;22;Engineering;3;Physical Sciences;Fiber Optic Sensors;Optical Fiber;Sensor Technology;Brillouin Scattering;Surface Plasmon Resonance;Structural Health Monitoring;Long-Period Gratings;Photonic Crystal Fiber;Refractive Index Sensor;Distributed Sensing
T11446;Mobile Health Interventions and Applications;3600;General Health Professions;36;Health Professions;4;Health Sciences;Mobile Health;mHealth;Health Apps;Behavior Change;Chronic Disease Management;Text Messaging;Digital Health;Patient Engagement;Self-Monitoring;Adherence
T11398;Gesture Recognition in Human-Computer Interaction;1709;Human-Computer Interaction;17;Computer Science;3;Physical Sciences;Gesture Recognition;Human-Computer Interaction;Hand Gesture;Sign Language;Depth Sensor;Kinect Sensor;Neural Networks;Real-time Tracking;Deep Learning;Continuous Recognition
T11838;Organized Crime and Criminal Networks Analysis;3312;Sociology and Political Science;33;Social Sciences;2;Social Sciences;Organized Crime;Criminal Networks;Drug Trafficking;Money Laundering;Violence;Law Enforcement;Globalization;Corruption;Gangs;State Failure
T12329;Ecology and Management of Stink Bugs;1105;Ecology, Evolution, Behavior and Systematics;11;Agricultural and Biological Sciences;1;Life Sciences;Stink Bug;Halyomorpha halys;Pentatomidae;Invasive Species;Biological Control;Hemiptera;Phylogeny;Pheromones;Climate Change;Integrated Pest Management
T12761;Adaptation to Concept Drift in Data Streams;1702;Artificial Intelligence;17;Computer Science;3;Physical Sciences;Concept Drift;Data Streams;Ensemble Learning;Adaptive Algorithms;Online Learning;Change Detection;Class Imbalance;Streaming Data;Incremental Learning;Ensemble Classifiers
T13175;Ancient Astronomy and Mathematical Instruments;3103;Astronomy and Astrophysics;31;Physics and Astronomy;3;Physical Sciences;Antikythera Mechanism;Astronomical Calculator;Greek Astronomy;Islamic Influence;Ancient Constellations;Historical Astronomy;Astrolabes;Eclipse Prediction;Archeoastronomy;Ancient Geographical Knowledge
T14012;Globalization of Law and Legal Methodology;3308;Law;33;Social Sciences;2;Social Sciences;Comparative Law;Globalization;Legal Methodology;Intersectionality;Financialization;Employment Relationship;Regulatory Sanctions;Human Rights;International Trade;Legal Education
T14450;Employee Welfare Measures and Impacts;1407;Organizational Behavior and Human Resource Management;14;Business, Management and Accounting;2;Social Sciences;Employee Welfare;Labour Market;Workforce Performance;Social Entrepreneurship;Sustainable Development;Language Development;Second Language Acquisition;Environmental Sustainability;Global Economic Crisis;Family Structure
